full_address,nicks_with_at,email,name,phone_mobile,phone_landline,snils,passport,birthdate,inn,oms,age,mse,birth_certificate,driver_license,full_company_name
"Самарская область, г. Самара, мкр. Крутые Ключи, д. 70",@idiociest,01351996s@gmail.com,Шахова Оксана Игоревна,плюс семь девятьсот сорок семьдесят два девятьсот шестьдесят восемь тридцать шесть,девятьсот двадцать триста девяносто,триста шестьдесят девять пятьсот сорок два шестьдесят две тысячи шестьсот двадцать два,пять тысяч восемьсот пять триста двадцать девять четыреста тридцать семь,один два ноль два один девять пять семь,двести восемь сто шестьдесят семь пятьсот восемьдесят восемь семьсот сорок два,сто семьдесят двести девятьсот десять двести шестьдесят девять пятьдесят семь сорок,восемьдесят восемь,три тысячи шестьсот два три миллиона шестьсот десять тысяч семьсот пятьдесят,шесть тире цэ дэ тридцать три двенадцать пятьдесят один,ноль девять один три пять семь ноль семь шесть три,"Общество с ограниченной ответственностью ""АРХИКОМ"""
"Московская область, мкр. Западный, ул. Зеленая, д. 89",@BizzarGhostGaming,017lpu396@corp.zdravalt.ru,Божко Марина Владимировна,плюс семь девять девять четыре восемь три семь один девять три четыре,шестьдесят четыре пятнадцать семьдесят два,шестьсот пятьдесят восемь тысяч восемьсот девяносто восемь один семьдесят четыре,сорок два двенадцать девяносто девять пятьдесят два восемьдесят два,десять декабря две тысячи семнадцать года,двести одиннадцать восемьсот восемьдесят три двести сорок один девятьсот девяносто четыре,семь тысяч триста один девять тысяч четыреста две тысячи двести пятьдесят два одна тысяча девятьсот пятьдесят три,два,семьдесят четыре семь четыреста семьдесят три двадцать семьдесят девять,восемь тире е ща сто восемь пятьсот восемь,сорок шесть шестьдесят пятьдесят два тридцать восемь сорок три,"Муниципальное унитарное предприятие Центральный универсальный магазин ""Искитим"" города Искитима"
"обл. Саратовская, г. Саратов, ул. Огородная, д. 160",@AmazingDieudo,019_fdd@mail.ru,Халикова Татьяна Алексеевна,семь девятьсот пятьдесят один восемьсот шестьдесят двадцать один пятьдесят один,пять один восемь три два четыре,семьсот шестьдесят четыре тридцать пять двадцать пять восемьдесят два,восемьдесят четыре тринадцать четыреста семьдесят восемь восемьсот восемьдесят шесть,семь декабря две тысячи десять года,двадцать девять двадцать три пятьдесят восемь двенадцать восемьдесят два восемьдесят четыре,восемь тысяч девятьсот один девять тысяч пятьсот две тысячи сто семьдесят восемь восемь тысяч семьсот три,сорок два,три тысячи девятьсот двенадцать два миллиона сто пятьдесят две тысячи шестьсот девяносто шесть,пять тире у у восемьсот семьдесят пять триста восемьдесят пять,сорок четыре шестьдесят один восемьсот семьдесят пять сорок один,Администрация Нижнеингашского района
"Нижегородская область, г. Выкса, ул. Островского, д. 56",@RayShmurda6,01_office@apkholding.ru,Назарова Дарья,плюс семь девять девять пять четыре семь пять семь шесть семь восемь,пятьдесят два шестьдесят пять восемьдесят пять,пятьсот двадцать семь тысяч восемьсот девяносто восемь восемьсот пятьдесят шестьдесят семь,семьдесят пять девять семьдесят один восемьдесят шесть тридцать восемь,пятнадцать апреля одна тысяча девятьсот пятьдесят семь года,пятьдесят шесть три девятнадцать шестьдесят один семьдесят три семьдесят пять,восемь тысяч пятьсот два один шестьдесят семьсот тридцать шестьсот тридцать два,двадцать шесть,две тысячи триста двадцать шесть семь миллионов семьсот шестьдесят восемь тысяч пятьсот девять,десять тире а бэ семьдесят девять двадцать один сорок четыре,девяносто восемь девяносто семь тридцать три двадцать восемь двадцать три,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОТЕК ПРОЦЕССИНГ"""
"Республика Чувашия, р-н. Вурнарский, с. Калинино, ул. Ленина, д. 51",@GrimmMarshal,01kapt@mail.ru,Ханапова Татьяна Владимировна,семь девятьсот пять пятьдесят сто восемьдесят девять сорок восемь,три ноль два четыре семь пять,девятьсот сорок девять восемьсот одиннадцать триста восемьдесят три пятьдесят девять,одна тысяча девятьсот двадцать два четыреста шестнадцать четыреста восемьдесят четыре,один пять ноль шесть один девять девять восемь,пятьсот пятьдесят восемь триста двенадцать шестьсот сорок пять двести пятьдесят один,шесть тысяч четыреста один девять тысяч семьсот пятьдесят один семьсот четырнадцать девятьсот семьдесят восемь,пятьдесят семь,три тысячи сто двенадцать три миллиона восемьсот семь тысяч семьсот семьдесят восемь,десять тире эр пэ девять сорок два семьдесят восемь,пятьсот девяносто один семьсот шестьдесят один двадцать,Индивидуальный предприниматель Прозорева Надежда Васильевна
"Респ. Удмуртская, г. Можга, мкр. Наговицынский, д. 12",@inception73,01kne@snos.ru,Козлова Наталья Евгеньевна,семь девять четыре пять четыре один девять один четыре девять три,двести пятьдесят четыре восемьсот семьдесят пять,триста восемь пятьсот шестьдесят один восемьдесят пять тысяч триста восемьдесят три,девять семь ноль восемь шесть шесть четыре девять восемь один,девять января одна тысяча девятьсот восемьдесят восемь года,двести пятьдесят два девяносто шесть двести семьдесят триста пятьдесят девять,пять тысяч пятьсот один девять тысяч семьсот девяносто шесть тысяч семьсот десять двести двадцать два,тридцать один,шесть тысяч триста шесть восемь миллионов семьсот тринадцать тысяч четыреста шестнадцать,одиннадцать тире эф эф один ноль два два шесть три,одна тысяча двести шестьдесят восемь восемьсот пятьдесят восемь сто тридцать один,ИП НАДЬКИНА  АННА ГРИГОРЬЕВНА
"Свердловская область, г. Серов, ул. Молодогвардейская, д. 48",@Rahulkumar18,01piv@snos.ru,Протасов Игорь Владимирович,семь девять девять шесть пять пять один пять шесть два один,семьдесят три шестьдесят два сорок один,двести шестнадцать тысяч пятьсот тридцать семь триста двадцать четыре пятьдесят семь,сорок четыре девяносто восемь семьсот пятьдесят три,два один ноль пять два ноль один ноль,одиннадцать шестьдесят один тридцать пять тридцать шесть восемьдесят семь,двести шестьдесят двести триста семь сто шесть двадцать один пятьдесят четыре,три,три семь ноль три восемь пять восемь ноль ноль ноль семь,семь тире эф е двести сорок восемь триста двадцать восемь,шестьдесят шесть девяносто девять двадцать семь семь двенадцать,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРТЕКС"""
"Архангельская область, р-н. Плесецкий, рп. Плесецк, ул. Строительная, д. 41",@MBSUPERSPAZZ,01tim@snos.ru,Тырова Ирина Михайловна,семь девятьсот тридцать три шестьсот восемь четыре восемь,восемьдесят шесть двадцать восемь двадцать один,девятьсот восемьдесят девять четыреста девяносто один семьдесят девять тысяч триста двадцать,восемьдесят девять пятнадцать восемьдесят шесть сорок два двадцать шесть,два четыре один ноль два ноль один семь,сто шестьдесят семь семьсот тридцать четыре пятьсот шестьдесят семь четыреста тридцать девять,восемь тысяч восемьсот один девять тысяч пятьсот пятьдесят один одна тысяча семьсот семьдесят пять три тысячи семьсот шестьдесят восемь,одиннадцать,пятьдесят пять ноль четыреста шестьдесят девяносто два пятьдесят три,три тире пэ эф тридцать четыре шестьдесят четыре восемьдесят,семьдесят один сорок один двести сорок девятьсот девять,"Общество с ограниченной ответственностью ""НИАГАРА"""
"Волгоградская область, г. Волгоград, ул. Панфиловская, д. 4",@eriktheredhead,0200-ok@roskazna.ru,Хмылко Татьяна Анатольевна,восемь девятьсот восемьдесят один восемьдесят семь восемьсот шестьдесят семь шестьдесят пять,тридцать семь семнадцать три,сто сорок три семьсот сорок пять одиннадцать сорок шесть,семь тысяч сто четырнадцать сто сорок семь шестьсот двадцать три,восемь июля одна тысяча девятьсот девяносто девять года,триста восемьдесят один двести шестьдесят восемь шестьсот сорок четыре двести девяносто шесть,один четыре ноль один девять восемь восемь один два пять семь пять пять ноль четыре семь,шестнадцать,ноль пять один шесть один два два восемь четыре девять ноль,четыре тире у тэ сорок два семьдесят два сорок восемь,шесть один восемь восемь ноль четыре семь два два один,ВОЛНА-Ф ТОВАРИЩЕСТВО СОБСТВЕННИКОВ НЕДВИЖИМОСТИ
"Москва, ул. Бестужевых, д. 16",@randomstuff063,023_engineer@electrosignal.ru,Пискунова Наталья Геннадьевна,плюс семь девятьсот пятьдесят шесть тридцать четыре сто тридцать пять одиннадцать,двести двадцать семь восемьсот пятьдесят три,семьсот тысяч четыреста сорок один триста тридцать три двадцать восемь,десять двенадцать семьдесят два восемьдесят шесть тридцать семь,шестнадцать ноября две тысячи двадцать четыре года,шесть тысяч двести девять две тысячи шестьсот четырнадцать четыре тысячи сто девяносто,пять пять ноль два ноль ноль семь ноль девять шесть семь три семь девять два восемь,двадцать два,пять ноль ноль ноль пять шесть один один девять два четыре,одиннадцать тире эф ы шесть девять три два восемь семь,восемьдесят семь двадцать семь девятьсот восемьдесят четыре восемьсот тридцать три,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЕКТНО-ИЗЫСКАТЕЛЬСКАЯ ФИРМА ""ЗЕМЛЕУСТРОИТЕЛЬНОЕ БЮРО"""
"Московская область, г. Химки, ул. Гоголя, д. 15",@llIlIllilIlllI,023_engineer@electrosignsl.ru,Пискунова Наталья Геннадьевна,восемь девятьсот девяносто восемь шестьдесят семь шестьсот пятьдесят три два,один восемь три один шесть четыре,девятьсот восемьдесят два триста пятнадцать пятьдесят одна тысяча шестьсот двадцать три,девять тысяч шестьсот шесть девятьсот семьдесят девять семьсот тридцать девять,два ноября одна тысяча девятьсот восемьдесят девять года,одна тысяча восемьсот пятьдесят шесть девять тысяч четыреста девяносто четыре девять тысяч четыреста тридцать восемь,сто пятьдесят сто девяносто два семьсот шесть одиннадцать сорок девять шесть,шестьдесят один,две тысячи семьсот двадцать пять миллионов семьсот тридцать три тысячи двести девяносто один,четыре тире и краткое эль шестнадцать восемьдесят пять шестьдесят два,шестьсот сорок девять сто девяносто семь сто сорок два,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ УДМУРТСКОЙ НАРОДНОЙ РЕСПУБЛИКИ
"Ленинградская область, г. Сосновый Бор, ул. Космонавтов, д. 6",@pego_tinn,028lpu941@corp.zdravalt.ru,Гусева Галина Викторовна,восемь девятьсот семьдесят семь четыре пятьсот девятнадцать семьдесят шесть,сто тридцать девять триста пятьдесят один,тридцать шесть триста сорок тысяч четыреста,шесть тысяч два семьсот пятьдесят пять восемьсот пятьдесят,один четыре ноль пять два ноль ноль пять,восемьдесят девять шесть сорок один шестьдесят шестьдесят четыре девяносто семь,три тысячи восемьсот один девятьсот двадцать семь пятнадцать сто восемьдесят один двести девяносто пять,девяносто пять,два три два шесть три четыре девять ноль два пять восемь,пять тире ша а девятнадцать триста девяносто два,восемь девяносто двадцать шесть девяносто шесть шестьдесят восемь,Общество с ограниченной ответственностью «Кинематик-ГЛ»
"Оренбургская область, г. Оренбург, пр-кт. Победы, д. 154",@whoisthatgirl1,029Lpu427@corp.zdravalt.ru,Бондарева Анастасия Игоревна,восемь девять один один семь три семь восемь семь два пять,девятьсот пятнадцать семьдесят восемь,два семьсот семнадцать шестьсот сорок один пятнадцать,четыре тысячи четыреста двадцать шесть девятьсот сорок два сто сорок восемь,двадцать восемь января одна тысяча девятьсот восемьдесят один года,девятьсот четырнадцать двести шестьдесят шесть девятьсот сорок шесть девятьсот двадцать шесть,семь тысяч один девятьсот семьдесят два семьдесят два шестьсот двадцать шесть триста шестьдесят,шестьдесят два,двадцать два девять пятьдесят восемь шестьдесят четыре двадцать пять,десять тире ща эм двести девяносто девять восемьсот пятьдесят четыре,тридцать четыре сорок два пятьсот сорок шесть пятьсот восемьдесят восемь,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ РЕСПУБЛИКИ БУРЯТИЯ ""РЕСПУБЛИКАНСКАЯ ДЕТСКО-ЮНОШЕСКАЯ БИБЛИОТЕКА"""
